Date,Close
2024-01-01,30074.25707917014
2024-01-02,59791.556668666075
2024-01-03,90120.03740925914
2024-01-04,120088.61054007335
2024-01-05,150112.5388691349
2024-01-06,179840.667403902
2024-01-07,209768.597329138
2024-01-08,239659.61273668992
2024-01-09,269613.16046402574
2024-01-10,299720.69901717675
2024-01-11,329692.89797005785
2024-01-12,359547.4012724099
2024-01-13,389362.407918151
2024-01-14,419305.78574182506
2024-01-15,449727.1488460413
2024-01-16,480025.1023475791
2024-01-17,509786.8185893498
2024-01-18,539881.7118627616
2024-01-19,569947.2941661672
2024-01-20,599756.573476178
2024-01-21,630033.910935137
2024-01-22,660432.7341812752
2024-01-23,690379.7692721774
2024-01-24,720549.3825836354
2024-01-25,750466.0980362417
2024-01-26,780532.1817395063
2024-01-27,810497.1809332701
2024-01-28,840382.2739631569
2024-01-29,870457.0834244365
2024-01-30,900235.1076594654
2024-01-31,930059.982055475
2024-02-01,959682.0550559321
2024-02-02,989439.0637672038
2024-02-03,1019210.8281750212
2024-02-04,1049578.8371845684
2024-02-05,1079803.1366796615
2024-02-06,1109991.1302327318
2024-02-07,1140082.775456262
2024-02-08,1169921.776795256
2024-02-09,1199889.0331027757
2024-02-10,1229998.1745562835
2024-02-11,1259933.144769268
2024-02-12,1290048.1848645944
2024-02-13,1319690.3986862756
2024-02-14,1349776.3619369557
2024-02-15,1379838.9820632401
2024-02-16,1409667.8785828168
2024-02-17,1439423.1133149785
2024-02-18,1469482.6567215314
2024-02-19,1499742.8276413516
2024-02-20,1529678.4919800058
2024-02-21,1559549.337662781
2024-02-22,1589620.95031433
2024-02-23,1619647.4453648217
2024-02-24,1649681.3680152984
2024-02-25,1679602.870321211
2024-02-26,1710203.486815912
2024-02-27,1740295.0379536627
2024-02-28,1770554.3337159124
2024-02-29,1800717.3351187268
2024-03-01,1830693.8418738442
2024-03-02,1860731.3014311593
2024-03-03,1890771.3985535577
2024-03-04,1920665.1057745996
2024-03-05,1950637.5783528949
2024-03-06,1980413.0412137355
2024-03-07,2010644.140962818
2024-03-08,2040512.150565172
2024-03-09,2070813.8575706847
2024-03-10,2100545.5499378075
2024-03-11,2130629.245707768
2024-03-12,2160535.5246236376
2024-03-13,2190438.1247200123
2024-03-14,2220641.1196467127
2024-03-15,2250262.449136642
2024-03-16,2280199.4574310184
2024-03-17,2310751.2212545043
2024-03-18,2340862.216462006
2024-03-19,2370836.8389405976
2024-03-20,2400906.5606813817
2024-03-21,2430711.573960861
2024-03-22,2460581.1633218774
2024-03-23,2490303.022905706
2024-03-24,2520461.401091001
2024-03-25,2550593.178957692
2024-03-26,2580549.048055444
2024-03-27,2610122.4642362576
2024-03-28,2640419.4143345947
2024-03-29,2670119.3421783326
2024-03-30,2699906.921321582
2024-03-31,2729714.814545637
2024-04-01,2759646.9819148793
2024-04-02,2789662.6960625383
2024-04-03,2819580.9197522635
2024-04-04,2849300.11761367
2024-04-05,2879482.767964981
2024-04-06,2909486.6895574103
2024-04-07,2939441.1666133255
2024-04-08,2969483.732903683
2024-04-09,2999045.986676404
2024-04-10,3029010.6301161787
2024-04-11,3058753.471482386
2024-04-12,3088794.131306501
2024-04-13,3118646.9871864375
2024-04-14,3148604.809846042
2024-04-15,3178466.5365864923
2024-04-16,3209068.1665695067
2024-04-17,3239504.75714542
2024-04-18,3269744.995089174
2024-04-19,3299164.0873605306
2024-04-20,3329384.7746654907
2024-04-21,3359233.4870895883
2024-04-22,3389272.5305233924
2024-04-23,3419418.295103853
2024-04-24,3449339.247799171
2024-04-25,3479271.7625573114
2024-04-26,3509312.9192529363
2024-04-27,3539390.413235369
2024-04-28,3569262.854927113
2024-04-29,3599333.780843506
2024-04-30,3629439.5213799905
2024-05-01,3659360.0155320205
2024-05-02,3689220.0506741055
2024-05-03,3719071.25859904
2024-05-04,3748588.4667919744
2024-05-05,3778871.5339972517
2024-05-06,3808820.007487842
2024-05-07,3838605.239788021
2024-05-08,3868543.740011689
2024-05-09,3897963.6924201204
2024-05-10,3928067.6542432997
2024-05-11,3957953.595464109
2024-05-12,3987658.3281062627
2024-05-13,4017730.592859807
2024-05-14,4047751.088991957
2024-05-15,4077694.315387879
2024-05-16,4107581.4954202063
2024-05-17,4137296.327154836
2024-05-18,4167131.6880157944
2024-05-19,4197069.098978906
2024-05-20,4227133.464110121
2024-05-21,4257371.858325545
2024-05-22,4287446.990225898
2024-05-23,4317597.733174932
2024-05-24,4347587.435730044
2024-05-25,4377679.919395233
2024-05-26,4407906.082224103
2024-05-27,4438022.393470511
2024-05-28,4468102.371487326
2024-05-29,4498206.606313435
2024-05-30,4528085.683502342
2024-05-31,4557966.859369961
2024-06-01,4587969.538393056
2024-06-02,4617942.022716912
2024-06-03,4647857.750876431
2024-06-04,4677825.971675775
2024-06-05,4708064.313218232
2024-06-06,4738072.275488603
2024-06-07,4767719.815534725
2024-06-08,4797855.038902945
2024-06-09,4827815.926663355
2024-06-10,4857607.668362914
2024-06-11,4888215.777447486
2024-06-12,4918165.796838051
2024-06-13,4948050.671141229
2024-06-14,4978093.136931176
2024-06-15,5008327.938755722
2024-06-16,5038098.090519029
2024-06-17,5068005.722664596
2024-06-18,5098006.880649486
2024-06-19,5127782.540858685
2024-06-20,5157736.3882709555
2024-06-21,5187718.336485179
2024-06-22,5217947.367999068
2024-06-23,5248055.248213565
2024-06-24,5278506.473909735
2024-06-25,5308504.234825394
2024-06-26,5338806.746321999
2024-06-27,5368953.477789392
2024-06-28,5398873.872384064
2024-06-29,5428703.9002428595
2024-06-30,5458774.822843381
2024-07-01,5489093.74481009
2024-07-02,5518890.165102048
2024-07-03,5548814.014329173
2024-07-04,5578791.434711604
2024-07-05,5608634.225049527
2024-07-06,5638481.439455292
2024-07-07,5668221.620627471
2024-07-08,5698117.751895751
2024-07-09,5728161.437193245
2024-07-10,5758220.8355809115
2024-07-11,5788305.9161452325
2024-07-12,5817683.68113489
2024-07-13,5847751.665255477
2024-07-14,5877519.266785659
2024-07-15,5907868.452166543
2024-07-16,5938019.952898627
2024-07-17,5968207.349036381
2024-07-18,5998039.223495036
2024-07-19,6028097.271947245
2024-07-20,6057702.917329101
2024-07-21,6087404.74674596
2024-07-22,6117228.935408165
2024-07-23,6147062.174970655
2024-07-24,6177193.073676141
2024-07-25,6207117.157601227
2024-07-26,6237319.487877917
2024-07-27,6267452.13253337
2024-07-28,6297422.158658425
2024-07-29,6327338.866531574
2024-07-30,6357336.006566052
